runner_id,date,type_seance,distance,duree,allure,fc_moyenne,elevation
R001,2025-03-18,Endurance,12.4,82.9,6.66,130,80
R001,2025-03-06,Endurance,9.0,60.1,6.66,130,85
R001,2025-03-15,Endurance,14.7,97.8,6.66,130,169
R001,2025-06-01,Endurance,12.5,83.4,6.66,130,169
R001,2025-03-26,Tempo,13.1,79.3,6.05,144,90
R001,2025-01-03,Endurance,13.0,86.7,6.66,130,140
R001,2025-06-03,Endurance,11.8,78.6,6.66,130,8
R001,2025-05-16,Fractionné,9.0,48.8,5.45,151,88
R001,2025-03-15,Endurance,11.2,74.3,6.66,130,93
R001,2025-05-24,Endurance,13.7,91.3,6.66,130,102
R001,2025-03-13,Endurance,16.3,108.7,6.66,130,81
R001,2025-02-18,Tempo,14.3,86.6,6.05,144,153
R001,2025-03-31,Fractionné,6.2,33.6,5.45,151,58
R001,2025-01-22,Endurance,8.1,53.7,6.66,130,121
R001,2025-05-06,Endurance,10.2,68.2,6.66,130,67
R001,2025-04-30,Endurance,14.9,99.4,6.66,130,148
R001,2025-03-21,Endurance,12.6,83.9,6.66,130,198
R001,2025-01-28,Fractionné,11.1,60.3,5.45,151,132
R001,2025-05-10,Tempo,13.8,83.3,6.05,144,83
R001,2025-05-04,Endurance,13.5,90.1,6.66,130,108
R001,2025-04-27,Endurance,15.4,102.5,6.66,130,155
R001,2025-02-18,Endurance,12.0,79.7,6.66,130,164
R001,2025-04-20,Endurance,14.2,94.7,6.66,130,188
R001,2025-05-25,Endurance,14.1,94.1,6.66,130,23
R001,2025-01-05,Endurance,8.4,56.1,6.66,130,22
R001,2025-03-31,Endurance,13.9,92.6,6.66,130,180
R001,2025-02-12,Endurance,11.4,75.7,6.66,130,69
R001,2025-03-23,Tempo,9.4,56.9,6.05,144,102
R001,2025-05-27,Endurance,13.4,89.4,6.66,130,2
R001,2025-04-19,Endurance,14.9,98.9,6.66,130,168
R001,2025-05-02,Endurance,10.1,67.0,6.66,130,49
R001,2025-01-11,Endurance,15.3,102.1,6.66,130,184
R001,2025-04-17,Endurance,14.6,97.1,6.66,130,46
R001,2025-04-09,Endurance,14.9,99.3,6.66,130,53
R001,2025-05-10,Endurance,11.1,74.0,6.66,130,15
R001,2025-02-09,Endurance,13.4,89.4,6.66,130,138
R001,2024-12-22,Endurance,8.5,56.6,6.66,130,16
R001,2025-02-18,Fractionné,9.8,53.3,5.45,151,122
R001,2025-05-10,Endurance,14.9,99.5,6.66,130,50
R001,2025-01-17,Fractionné,8.7,47.3,5.45,151,193
R001,2025-03-26,Endurance,15.6,103.8,6.66,130,166
R001,2025-04-14,Tempo,8.9,53.6,6.05,144,121
R001,2025-05-28,Tempo,10.4,63.0,6.05,144,161
R001,2025-05-30,Endurance,9.7,64.4,6.66,130,51
R001,2024-12-15,Endurance,9.9,65.8,6.66,130,48
R001,2025-02-26,Endurance,17.4,115.5,6.66,130,80
R001,2024-12-27,Endurance,7.5,49.7,6.66,130,95
R002,2025-05-07,Endurance,3.7,24.5,6.66,129,77
R002,2025-02-08,Endurance,4.2,28.2,6.66,129,161
R002,2025-04-23,Endurance,5.5,36.6,6.66,129,176
R002,2025-05-29,Endurance,4.0,26.7,6.66,129,192
R002,2025-01-08,Endurance,4.3,28.9,6.66,129,88
R002,2025-05-09,Endurance,3.8,25.0,6.66,129,171
R002,2025-05-12,Endurance,4.0,26.7,6.66,129,71
R002,2024-12-19,Endurance,5.1,33.8,6.66,129,118
R002,2025-04-05,Tempo,14.3,86.8,6.05,143,71
R002,2025-04-15,Endurance,4.0,26.3,6.66,129,132
R002,2025-01-08,Endurance,3.8,25.3,6.66,129,133
R002,2025-03-19,Endurance,4.2,28.0,6.66,129,119
R002,2025-02-09,Endurance,4.8,31.7,6.66,129,49
R002,2025-04-03,Endurance,3.6,23.9,6.66,129,46
R002,2025-05-28,Fractionné,9.9,53.6,5.45,150,181
R002,2025-04-26,Endurance,4.2,27.7,6.66,129,13
R002,2025-05-08,Tempo,12.2,73.9,6.05,143,147
R002,2025-01-10,Endurance,4.0,26.5,6.66,129,16
R002,2025-02-16,Fractionné,6.7,36.4,5.45,150,61
R002,2025-05-30,Tempo,12.9,78.2,6.05,143,168
R002,2025-06-07,Endurance,3.8,25.2,6.66,129,70
R002,2025-04-22,Endurance,3.0,20.0,6.66,129,123
R002,2025-01-05,Endurance,3.9,25.9,6.66,129,21
R002,2025-05-15,Endurance,3.9,26.2,6.66,129,181
R002,2025-05-09,Endurance,4.1,27.6,6.66,129,83
R002,2025-04-02,Endurance,5.1,33.9,6.66,129,133
R002,2025-01-08,Endurance,4.8,31.7,6.66,129,95
R002,2025-01-29,Endurance,3.0,20.0,6.66,129,1
R002,2025-05-18,Endurance,4.1,27.5,6.66,129,82
R002,2025-05-15,Endurance,3.0,20.0,6.66,129,178
R002,2025-01-29,Endurance,4.4,29.3,6.66,129,21
R002,2025-03-22,Tempo,12.8,77.2,6.05,143,27
R002,2025-04-04,Endurance,4.1,27.0,6.66,129,82
R002,2025-04-20,Endurance,4.6,30.5,6.66,129,72
R002,2025-01-27,Endurance,3.3,22.0,6.66,129,84
R002,2025-04-18,Tempo,14.0,84.9,6.05,143,131
R002,2025-03-15,Endurance,3.9,25.9,6.66,129,154
R002,2025-05-15,Fractionné,7.4,40.2,5.45,150,42
R002,2025-04-12,Endurance,3.2,21.5,6.66,129,38
R002,2025-04-04,Tempo,8.4,50.5,6.05,143,179
R002,2025-01-28,Endurance,4.5,30.1,6.66,129,109
R002,2025-02-19,Endurance,3.8,25.3,6.66,129,177
R002,2025-02-12,Endurance,4.6,30.3,6.66,129,74
R003,2025-03-04,Endurance,16.9,97.1,5.75,141,18
R003,2025-05-25,Seuil,14.4,75.0,5.22,141,45
R003,2025-04-22,Tempo,13.2,69.0,5.22,155,26
R003,2024-12-20,Endurance,13.7,78.5,5.75,141,41
R003,2025-02-23,Endurance,12.9,74.1,5.75,141,27
R003,2025-03-19,Fractionné,10.0,47.0,4.7,163,20
R003,2024-12-14,Tempo,9.7,50.9,5.22,155,37
R003,2025-05-29,Endurance,17.8,102.2,5.75,141,42
R003,2025-01-18,Fractionné,8.5,40.0,4.7,163,21
R003,2025-04-30,Tempo,9.4,49.2,5.22,155,21
